Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,Moving_Avg:10,Moving_Avg:20,Moving_Avg:50,Moving_Avg:200,EMA:10,EMA:20,EMA:50,EMA:200
22/06/2010,MUNDRAPORT,EQ,717.95,717.95,728.8,713,713,716.1,722.35,284671,2.05631E+13,176401,0.6197,699.7299927,687.5749969,,,703.3733165,695.3255059,,
23/06/2010,MUNDRAPORT,EQ,716.1,707,726.5,707,725.9,724,723.49,135599,9.81046E+12,62568,0.4614,705.4299927,690.1124969,,,707.1236226,698.0564101,,
24/06/2010,MUNDRAPORT,EQ,724,725.15,727.6,705.1,708.5,709.75,717.02,190666,1.36711E+13,115225,0.6043,708.1949951,692.1099976,,,707.6011457,699.1700853,,
25/06/2010,MUNDRAPORT,EQ,709.75,705,713.5,696,697.05,699.15,703.9,88433,6.2248E+12,39580,0.4476,709.7649963,693.4625,,,706.0645782,699.1681748,,
28/06/2010,MUNDRAPORT,EQ,699.15,697.3,719.7,697.3,712.55,715.5,714.37,106457,7.60494E+12,49633,0.4662,712.2349976,694.4149994,,,707.7801095,700.7235867,,
29/06/2010,MUNDRAPORT,EQ,715.5,721.9,724.9,715.15,719.6,721.3,719.31,156774,1.12769E+13,87019,0.5551,714.0849976,696.6424988,,,710.2382692,702.6832439,,
30/06/2010,MUNDRAPORT,EQ,721.3,685.3,741.5,685.3,738,738.5,734.11,345435,2.53588E+13,162580,0.4707,717.1,700.2949982,,,715.3767657,706.0943636,,
01/07/2010,MUNDRAPORT,EQ,738.5,738,740,725,727.9,729.65,731.44,217128,1.58816E+13,118087,0.5439,718.625,702.4674988,,,717.9719036,708.3377598,,
02/07/2010,MUNDRAPORT,EQ,729.65,730,734.7,711,712,714.95,721.67,87343,6.30328E+12,40971,0.4691,718.6850037,703.7299988,,,717.4224688,708.9674982,,
05/07/2010,MUNDRAPORT,EQ,714.95,712,736.85,710,733.5,733.05,730.73,170574,1.24644E+13,81499,0.4778,720.1950012,707.3099976,,,720.2638359,711.2610686,,
06/07/2010,MUNDRAPORT,EQ,733.05,728,734.5,716.2,724,720.65,722.59,115820,8.36909E+12,66084,0.5706,720.6500061,710.1899994,,,720.334052,712.1552549,,
07/07/2010,MUNDRAPORT,EQ,720.65,721,734,721,722,725.9,729.42,112156,8.18093E+12,52901,0.4717,720.8400085,713.1350006,,,721.346047,713.4642805,,
08/07/2010,MUNDRAPORT,EQ,725.9,733.9,734.7,714.2,724.9,723.55,725.08,130139,9.4361E+12,58350,0.4484,722.2200073,715.2075012,,,721.7467635,714.4248241,,
09/07/2010,MUNDRAPORT,EQ,723.55,723.6,734.75,719,723.5,724.05,723.17,124232,8.98415E+12,72595,0.5844,724.7100037,717.2375,,,722.1655315,715.3415063,,
12/07/2010,MUNDRAPORT,EQ,724.05,732,748.9,725,744,742.2,740.31,319944,2.36859E+13,95340,0.298,727.3800049,719.8075012,,,725.8081644,717.8994593,,
13/07/2010,MUNDRAPORT,EQ,742.2,749.4,761.95,746.1,756,758.8,755.95,527611,3.9885E+13,231185,0.4382,731.1300049,722.6075012,,,731.8066777,721.7947477,,
14/07/2010,MUNDRAPORT,EQ,758.8,761.05,764.9,744.2,749,749.6,753.22,379798,2.86071E+13,196603,0.5177,732.2400024,724.6700012,,,735.0418228,724.4428646,,
15/07/2010,MUNDRAPORT,EQ,749.6,721.4,755.55,719,745.5,746.75,748.92,119522,8.9513E+12,65073,0.5444,733.95,726.2875,,,737.1705823,726.5673537,,
16/07/2010,MUNDRAPORT,EQ,746.75,750,759.75,750,755,754.8,755.95,1893211,1.43118E+14,1792173,0.9466,737.9349976,728.3100006,702.7459985,,740.3759287,729.256176,702.7460327,
19/07/2010,MUNDRAPORT,EQ,754.8,750,765.85,742,744,747.15,756.73,201510,1.52488E+13,82298,0.4084,739.3450012,729.7700012,703.8379993,,741.6075825,730.9603521,704.4873657,
20/07/2010,MUNDRAPORT,EQ,747.15,749,757.7,727.65,729.75,732.1,742.03,198096,1.46994E+13,99094,0.5002,740.4899963,730.5700012,704.433999,,739.8789267,731.0688876,705.5702132,
21/07/2010,MUNDRAPORT,EQ,732.1,738,741,729.45,730.25,730.7,734.87,205337,1.50897E+13,121637,0.5924,740.9699951,730.9050018,704.5809998,,738.2100332,731.0337566,706.5556955,
22/07/2010,MUNDRAPORT,EQ,730.7,730,735.7,717.2,724,725.55,723.7,326834,2.36529E+13,210650,0.6445,741.1699951,731.6950012,704.2079993,,735.9082067,730.5114929,707.3005697,
23/07/2010,MUNDRAPORT,EQ,725.55,726.5,734.85,723.25,727.85,725.9,728.86,141113,1.02851E+13,80271,0.5688,741.3549988,733.0325012,704.485,,734.0885372,730.0723055,708.0299601,
26/07/2010,MUNDRAPORT,EQ,725.9,727.6,732,721,726,726.6,727.34,147184,1.07053E+13,77959,0.5297,739.7949951,733.5875,704.9879993,,732.7269806,729.7416074,708.758196,
27/07/2010,MUNDRAPORT,EQ,726.6,730,732,721.5,725.2,725.4,725.89,61078,4.43361E+12,18965,0.3105,736.4549988,733.7925018,705.8359998,,731.3948067,729.3281233,709.4108167,
28/07/2010,MUNDRAPORT,EQ,725.4,731,731,720.5,721.5,724.55,726.36,60024,4.35989E+12,30333,0.5053,733.95,733.0950012,707.2429993,,730.1502942,728.8730628,710.0045097,
29/07/2010,MUNDRAPORT,EQ,724.55,719,727,718,724.8,721.25,722.82,117118,8.46553E+12,54140,0.4623,731.4,732.675,708.6829993,,728.5320589,728.1470568,710.4455093,
30/07/2010,MUNDRAPORT,EQ,721.25,727.2,738.6,718.6,724,724.15,729.55,141594,1.03299E+13,57372,0.4052,728.3350037,733.1350006,709.745,,727.7353253,727.766387,710.9829413,
02/08/2010,MUNDRAPORT,EQ,724.15,734,744,726.65,741.3,738.3,737.49,260400,1.92041E+13,133478,0.5126,727.45,733.3975006,710.9709998,,729.6561731,728.7695871,712.054198,
